pdb_id,f1,precision,recall,tp,fp,fn,num_predicted,num_ground_truth,protein_size
10gs,0.03821656050955414,0.01948051948051948,1.0,6,302,0,308,6,416
184l,0.10687022900763359,0.056451612903225805,1.0,7,117,0,124,7,162
185l,0.06250000000000001,0.032520325203252036,0.8,4,119,1,123,5,162
186l,0.126984126984127,0.06837606837606838,0.8888888888888888,8,109,1,117,9,162
187l,0.08000000000000002,0.04201680672268908,0.8333333333333334,5,114,1,119,6,162
188l,0.06349206349206349,0.03305785123966942,0.8,4,117,1,121,5,162
1a1e,0.07453416149068323,0.03896103896103896,0.8571428571428571,6,148,1,154,7,208
1a28,0.07441860465116279,0.03902439024390244,0.8,8,197,2,205,10,251
1a30,0.11347517730496454,0.061068702290076333,0.8,8,123,2,131,10,198
1a4k,0.01923076923076923,0.009708737864077669,1.0,6,612,0,618,6,869
1a4r,0.060836501901140684,0.031746031746031744,0.7272727272727273,8,244,3,252,11,380
1a4w,0.08333333333333336,0.04395604395604396,0.8,8,174,2,183,10,271
1a69,0.009049773755656108,0.004550625711035267,0.8,4,875,1,879,5,1414
1a94,0.17687074829931973,0.09923664122137404,0.8125,13,118,3,131,16,198
1a99,0.01937984496124031,0.009784735812133072,1.0,5,506,0,511,5,682
1a9m,0.15827338129496402,0.08870967741935484,0.7333333333333333,11,113,4,124,15,198
1a9q,0.00980392156862745,0.0049261083743842365,1.0,3,606,0,609,3,846
1aaq,0.1643835616438356,0.09022556390977443,0.9230769230769231,12,121,1,133,13,198
1add,0.03347280334728033,0.01702127659574468,1.0,4,231,0,235,4,349
1adl,0.06060606060606061,0.03125,1.0,7,217,0,224,7,262
1ado,0.006651884700665188,0.0033482142857142855,0.5,3,893,3,896,6,1452
1afk,0.09195402298850576,0.04878048780487805,0.8,4,78,1,82,5,124
1afl,0.1149425287356322,0.06172839506172839,0.8333333333333334,5,76,1,81,6,124
1ai4,0.013675213675213677,0.0068846815834767644,1.0,4,577,0,581,4,763
1ai5,0.013816925734024177,0.006968641114982578,0.8,4,570,1,574,5,763
1ai7,0.010221465076660989,0.005145797598627788,0.75,3,580,1,583,4,763
1aid,0.07246376811594202,0.03759398496240601,1.0,5,128,0,133,5,198
1aj7,0.012698412698412697,0.006389776357827476,1.0,2,311,0,313,2,431
1ajn,0.013675213675213677,0.0068846815834767644,1.0,4,577,0,581,4,763
1ajp,0.013651877133105802,0.0068846815834767644,0.8,4,577,1,581,5,763
1ajq,0.013769363166953529,0.006944444444444444,0.8,4,572,1,576,5,763
1ajv,0.0979020979020979,0.05343511450381679,0.5833333333333334,7,124,5,131,12,198
1ajx,0.05714285714285715,0.03076923076923077,0.4,4,126,6,130,10,198
1alw,0.007220216606498195,0.0036231884057971015,1.0,1,275,0,276,1,346
1amk,0.017241379310344827,0.008771929824561403,0.5,3,339,3,342,6,500
1amw,0.0189873417721519,0.009615384615384616,0.75,3,309,1,312,4,426
1apv,0.07111111111111111,0.037209302325581395,0.8,8,207,2,215,10,323
1atl,0.03496503496503497,0.017793594306049824,1.0,5,276,0,281,5,400
1atr,0.08362369337979096,0.043795620437956206,0.9230769230769231,12,262,1,274,13,383
1ax0,0.018691588785046728,0.00949367088607595,0.6,3,313,2,316,5,478
1azm,0.03225806451612903,0.01639344262295082,1.0,3,180,0,183,3,258
1b05,0.04739336492890995,0.024271844660194174,1.0,10,402,0,412,10,517
1b0h,0.053140096618357495,0.02729528535980149,1.0,11,392,0,403,11,517
1b1h,0.06619385342789598,0.034229828850855744,1.0,14,395,0,409,14,517
1b2h,0.042654028436018954,0.021791767554479417,1.0,9,404,0,413,9,517
1b32,0.05301204819277108,0.027227722772277228,1.0,11,393,0,404,11,517
1b38,0.06956521739130435,0.036036036036036036,1.0,8,214,0,222,8,290
1b3f,0.043373493975903614,0.022167487684729065,1.0,9,397,0,406,9,517
1b3g,0.052631578947368425,0.02702702702702703,1.0,11,396,0,407,11,517
